Top,Russian,Audio,English,Spanish,Example Russian 1,Example Russian 2,Example Russian 3,Audio 1,Audio 2,Audio 3,Example English 1,Example English 2,Example English 3,Example Spanish 1,Example Spanish 2,Example Spanish 3,Tag
97,то́же,,also,también,"Я люблю фрукты, а мой друг то́же.","Мария хочет поехать в отпуск, а ты то́же?",Я тоже хочу пойти на выставку.,,,,"I love fruit, and my friend also does.","Maria wants to go on vacation, and you too?",I also want to go to the exhibition.,"Me encantan las frutas, y mi amigo también.","María quiere irse de vacaciones, ¿y tú también?",También quiero ir a la exposición.,adverb
98,стоя́ть,,to stand,estar,Она стоит на по́диуме и выступает.,Они стоят под дождем и ждут такси.,Вчера они стояли в очереди.,,,,She is standing on the podium and speaking.,They are standing in the rain and waiting for a taxi.,Yesterday they stood in line.,Ella está de pie en el podio y habla.,Ellos están de pie bajo la lluvia esperando un taxi.,Ayer estaban en la fila.,verb
99,друг,,friend,amigo,Мой друг зовут Алексей.,Он мне верный друг.,Хороший друг всегда поддержит.,,,,My friend's name is Alexey.,He is my loyal friend.,A good friend always supports.,Mi amigo se llama Alexey.,Él es un amigo leal.,Un buen amigo siempre apoya.,noun
100,дом,,house,casa,Я живу в красивом доме на окраине города.,У него большой дом в деревне.,Его дом украшен яркими цветами.,,,,I live in a beautiful house on the outskirts of the city.,He has a big house in the village.,His house is adorned with bright flowers.,Vivo en una casa hermosa en las afueras de la ciudad.,Él tiene una casa grande en el pueblo.,Su casa está adornada con flores brillantes.,noun
101,сейча́с,,now,ahora,Я сейчас занят.,Сейчас лучше не беспокоить.,Она придет к тебе сейчас.,,,,I am busy now.,It's better not to bother now.,She will come to you now.,Estoy ocupado ahora.,Mejor no molestar ahora.,Ella vendrá a ti ahora.,adverb
102,мо́жно,,can,se puede,Можно мне сделать фотографию?,В этом месте нельзя фотографировать.,Можно ли мне присоединиться к вам?,,,,Can you take a picture of me?,Photography is not allowed in this place.,Can I join you?,¿Me puedes sacar una foto?,No se permite tomar fotos en este lugar.,¿Puedo unirme a ustedes?,other
103,по́сле,,after,después,Я пошел домой по́сле работы.,Она переоделась по́сле дождя.,Мы встретимся по́сле обеда.,,,,I went home after work.,She changed clothes after the rain.,We will meet after lunch.,Me fui a casa después del trabajo.,Ella se cambió de ropa después de la lluvia.,Nos veremos después del almuerzo.,other
104,сло́во,,word,palabra,Она повторила важное сло́во.,Это сло́во трудно произнести.,Запомни это сло́во.,,,,She repeated the important word.,This word is hard to pronounce.,Remember this word.,Ella repitió la palabra importante.,Esta palabra es difícil de pronunciar.,Recuerda esta palabra.,noun
105,здесь,,here,aquí,Я живу здесь уже много лет.,"Зайди сюда, здесь очень уютно.",Что ты делаешь здесь?,,,,I have been living here for many years.,"Come in here, it's very cozy here.",What are you doing here?,Llevo viviendo aquí muchos años.,"Entra aquí, aquí es muy acogedor.",¿Qué haces aquí?,adverb
106,ду́мать,,to think,pensar,"Я ду́маю, что завтра будет солнечно.",Они ду́мают о своем будущем.,Он ду́мал об этом целый день.,,,,I think it will be sunny tomorrow.,They are thinking about their future.,He thought about it all day.,Creo que mañana hará sol.,Están pensando en su futuro.,Él pensó en eso todo el día.,verb
107,ме́сто,,place,lugar,Это моё любимое место в городе.,Я нашёл уютное место для отдыха.,"Пожалуйста, уступите место пожилой женщине.",,,,This is my favorite place in the city.,I found a cozy place to relax.,Please give up your seat to the elderly lady.,Este es mi lugar favorito en la ciudad.,Encontré un lugar acogedor para relajarme.,"Por favor, ceda su asiento a la señora mayor.",noun
108,спроси́ть,,to ask,preguntar,Я всегда спрашиваю учителя по поводу упражнений.,Мы спросим его о вечеринке.,Вчера я спросил преподавателя.,,,,I always ask the teacher about exercises.,We will ask him about the party.,Yesterday I asked the teacher.,Siempre pregunto al profesor sobre los ejercicios.,Le preguntaremos sobre la fiesta.,Ayer le pregunté al profesor.,verb
109,че́рез,,through,a través de,Я прохожу через парк каждый день.,Давай встретимся через два часа.,Они планируют поездку через год.,,,,I walk through the park every day.,Let's meet in two hours.,They plan a trip in a year.,Paso por el parque todos los días.,Quedamos en dos horas.,Ellos planean un viaje dentro de un año.,other
110,лицо́,,face,rostro,У нее́ бы́ло радостное лицо́.,Она позабыла помыть лицо́.,Его лицо́ бы́ло уставшим после работы.,,,,She had a joyful face.,She forgot to wash her face.,His face was tired after work.,Tenía un rostro alegre.,Olvidó lavarse la cara.,Su rostro estaba cansado después del trabajo.,noun
111,что,,something,algo,Я ощущаю что-то странное.,Она скрывает что-то важное.,У него такое есть что-то особенное.,,,,I feel something strange.,She's hiding something important.,He has something special.,Siento algo extraño.,Ella está escondiendo algo importante.,Él tiene algo especial.,pronoun
112,тогда́,,then,entonces,Я учился в школе тогда́.,"Мы договорились встретиться тогда, когда все закончат работу.",Нам нужно поговорить о планах на тогдӑ.,,,,I was studying in school back then.,We agreed to meet then when everyone finishes work.,We need to talk about the plans for then.,Estudiaba en la escuela entonces.,Quedamos en encontrarnos en ese momento cuando todos terminen de trabajar.,Necesitamos hablar sobre los planes para entonces.,adverb
113,ведь,,after all,después de todo,"Ты не можешь уйти, ведь завтра праздник!","Я же говорил, что все будет хорошо, ведь только надо терпеть.","Он заслужил похвалу, ведь он вложил в проект душу.",,,,"You can't leave, after all, tomorrow is holiday!","I told you everything will be fine, after all, you just have to be patient.",He deserves praise because he put his heart into the project.,"¡No puedes irte, después de todo mañana es festivo!","Te dije que todo saldría bien, después de todo, solo necesitas ser paciente.","Merece elogios, pues puso el alma en el proyecto.",other
